,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,name_customer_enc,cust_payment_terms_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_createdate,month_of_createdate,year_of_createdate,day_of_due,month_of_due,year_of_due,clear_date,Aging Bucket
86,200772670,2020.0,1930683241.0,15489.78,66,186,46,21,3,2020,21,3,2020,5,4,2020,1970-01-02 05:28:31.546875005,0-15
87,200707822,2020.0,1930857983.0,126107.91,66,2226,18,4,5,2020,4,5,2020,19,5,2020,1970-01-02 02:52:19.835937519,0-15
88,140104392,2020.0,2960619205.0,2528.673,66,2919,5,6,3,2020,10,3,2020,20,3,2020,1970-01-15 01:58:57.125000020,0-15
89,200769623,2020.0,1930831780.0,11545.38,66,2998,32,28,4,2020,28,4,2020,13,5,2020,1970-01-02 17:04:02.656250013,0-15
90,200759878,2020.0,1930717567.0,47646.57,66,2393,32,31,3,2020,31,3,2020,15,4,2020,1969-12-31 17:38:38.033203140,
91,200705742,2020.0,1930581678.0,5932.51,66,843,18,28,2,2020,28,2,2020,14,3,2020,1969-12-28 07:05:14.000000014,
92,200793568,2020.0,1930690537.0,1635.76,66,2661,18,23,3,2020,23,3,2020,7,4,2020,1970-01-02 16:01:38.765625007,0-15
93,200726979,2020.0,1930646128.0,1286.3,66,324,18,12,3,2020,12,3,2020,27,3,2020,1970-01-02 02:45:24.757812527,0-15
94,200704858,2020.0,1930762384.0,99568.42,66,2969,18,9,4,2020,9,4,2020,24,4,2020,1970-01-04 02:18:23.750000024,0-15
95,200780383,2020.0,1930665025.0,3612.63,66,1870,18,18,3,2020,18,3,2020,2,4,2020,1970-01-02 06:52:52.710937502,0-15
96,200762301,2020.0,1930778021.0,102276.04,66,443,24,12,4,2020,12,4,2020,27,4,2020,1969-12-31 22:54:47.122558621,
97,140106271,2020.0,2960626604.0,8615.453,66,1681,5,3,4,2020,7,4,2020,17,4,2020,1970-01-04 21:59:15.125000017,0-15
98,140104423,2020.0,2960628851.0,45059.545999999995,66,1903,5,17,4,2020,21,4,2020,1,5,2020,1970-01-06 01:13:51.937500001,0-15
99,200741174,2020.0,1930657267.0,5767.83,66,1701,18,16,3,2020,16,3,2020,31,3,2020,1970-01-02 07:26:29.601562531,0-15
100,100030194,2020.0,2960622411.0,9851.667,66,109,5,18,3,2020,20,3,2020,30,3,2020,1970-01-06 11:54:36.750000030,0-15
101,200769623,2020.0,1930720012.0,42379.83,66,3004,32,30,3,2020,30,3,2020,14,4,2020,1970-01-02 17:04:02.656250014,0-15
102,200592182,2020.0,1930822583.0,1761.84,66,735,36,24,4,2020,16,4,2020,9,5,2020,1969-12-28 09:40:00.281250009,
103,200743996,2020.0,1930686889.0,94612.03,66,2617,18,22,3,2020,22,3,2020,6,4,2020,1970-01-02 17:45:08.875000006,0-15
104,200769623,2020.0,1930787980.0,22226.35,66,3001,32,15,4,2020,15,4,2020,30,4,2020,1970-01-02 17:04:02.656250030,0-15
105,200749782,2020.0,1930822131.0,88502.01,66,1559,18,25,4,2020,25,4,2020,10,5,2020,1970-01-02 02:40:05.851562510,0-15
106,200744019,2020.0,1930641073.0,1982.06,66,2791,31,13,3,2020,13,3,2020,17,5,2020,1970-01-01 18:46:35.968750017,0-15
107,200769623,2020.0,1930804577.0,2326.08,66,3000,32,21,4,2020,21,4,2020,6,5,2020,1970-01-02 17:04:02.656250006,0-15
108,200705742,2020.0,1930592413.0,9822.38,66,848,18,2,3,2020,2,3,2020,17,3,2020,1969-12-28 07:05:14.000000017,
109,200744019,2020.0,1930857489.0,29592.42,66,2797,18,5,5,2020,5,5,2020,20,5,2020,1970-01-04 10:43:01.875000020,0-15
110,200772670,2020.0,1930739252.0,47903.76,66,184,46,3,4,2020,3,4,2020,18,4,2020,1970-01-02 04:50:41.148437518,0-15
111,200769623,2020.0,1930692953.0,1898.9,66,2999,32,24,3,2020,24,3,2020,8,4,2020,1970-01-02 17:04:02.656250008,0-15
112,200900909,2020.0,1930741081.0,7524.17,66,2765,18,3,4,2020,3,4,2020,18,4,2020,1970-01-02 21:15:17.718750018,0-15
113,200424504,2020.0,1930830032.0,2428.04,66,1694,66,28,4,2020,15,4,2020,15,4,2020,1970-01-28 13:28:22.750000015,16-30
114,100031704,2020.0,1930794735.0,1176.59,66,755,31,16,4,2020,16,4,2020,20,6,2020,1969-12-31 09:45:44.207031270,
115,200764795,2020.0,1930637455.0,10978.51,66,2729,11,18,3,2020,18,3,2020,19,4,2020,1970-01-02 16:01:38.765625019,0-15
116,200337148,2020.0,1930587342.0,45127.79,66,572,18,2,3,2020,2,3,2020,17,3,2020,1969-12-31 20:54:56.468750017,
117,200416837,2020.0,1930599382.0,398.16,66,725,36,4,3,2020,1,3,2020,24,3,2020,1969-12-28 08:18:08.218750024,
118,200769623,2020.0,1930623646.0,58726.21,66,3002,32,9,3,2020,9,3,2020,24,3,2020,1970-01-02 16:26:12.234375024,0-15
119,200726979,2020.0,1930645815.0,588.49,66,325,18,12,3,2020,12,3,2020,27,3,2020,1970-01-02 02:45:24.757812527,0-15
120,200721222,2020.0,1930800642.0,25685.07,66,1118,18,20,4,2020,20,4,2020,5,5,2020,1970-01-01 06:40:43.570312505,0-15
121,200772595,2020.0,1930729101.0,10020.14,66,2401,18,2,4,2020,2,4,2020,17,4,2020,1970-01-02 06:37:19.320312517,0-15
122,200820380,2020.0,1930716191.0,48022.97,66,2544,18,30,3,2020,30,3,2020,14,4,2020,1970-01-02 04:56:59.757812514,0-15
123,200793568,2020.0,1930779652.0,36623.03,66,2656,18,14,4,2020,14,4,2020,29,4,2020,1970-01-02 16:01:38.765625029,0-15
124,200706844,2020.0,1930732708.0,22644.53,66,3063,18,1,4,2020,1,4,2020,16,4,2020,1970-01-09 03:44:17.875000016,0-15
125,100043975,2020.0,1930586661.0,7212.0,66,2919,18,2,3,2020,2,3,2020,17,3,2020,1970-01-08 13:59:22.125000017,0-15
126,200769623,2020.0,1930692548.0,15797.23,66,3002,32,25,3,2020,25,3,2020,9,4,2020,1970-01-02 17:04:02.656250009,0-15
127,200762301,2020.0,1930630515.0,2018.45,66,448,24,11,3,2020,11,3,2020,26,3,2020,1969-12-31 23:32:37.535156276,
128,200769623,2020.0,1930593446.0,14706.98,66,3000,32,4,3,2020,4,3,2020,19,3,2020,1970-01-02 17:04:02.656250019,0-15
129,200729290,2020.0,1930599215.0,115494.14,66,1580,18,4,3,2020,4,3,2020,19,3,2020,1970-01-02 02:40:05.851562519,0-15
130,200769623,2020.0,1930827122.0,1898.9,66,3005,32,27,4,2020,27,4,2020,12,5,2020,1970-01-02 17:04:02.656250012,0-15
131,200769623,2020.0,1930750644.0,37684.36,66,3005,32,6,4,2020,6,4,2020,21,4,2020,1970-01-02 17:04:02.656250021,0-15
132,200705372,2020.0,1930637990.0,19961.05,66,1016,18,13,3,2020,13,3,2020,28,3,2020,1970-01-01 01:04:07.575683622,0-15
133,200769623,2020.0,1930675431.0,11826.09,66,3002,32,22,3,2020,22,3,2020,6,4,2020,1970-01-02 17:04:02.656250006,0-15
134,200742791,2020.0,1930603823.0,24843.48,66,2249,18,10,3,2020,10,3,2020,25,3,2020,1970-01-02 08:10:59.312500025,0-15
135,200743996,2020.0,1930718352.0,32224.05,66,2619,18,30,3,2020,30,3,2020,14,4,2020,1970-01-02 18:22:59.296875014,0-15
136,200769623,2020.0,1930752522.0,9937.06,66,3005,32,6,4,2020,6,4,2020,21,4,2020,1970-01-02 17:04:02.656250021,0-15
137,200759878,2020.0,1930752430.0,12417.47,66,2389,32,8,4,2020,8,4,2020,23,4,2020,1969-12-31 18:16:28.447265648,
138,200762301,2020.0,1930584581.0,4301.57,66,452,24,2,3,2020,2,3,2020,17,3,2020,1969-12-31 23:32:37.535156267,
139,200769623,2020.0,1930885637.0,22549.83,66,2995,32,12,5,2020,12,5,2020,27,5,2020,1970-01-02 17:04:02.656250027,0-15
140,100043936,2020.0,1930627707.0,18145.19,66,2919,9,10,3,2020,10,3,2020,20,3,2020,1970-01-11 22:59:15.312500020,0-15
141,200744019,2020.0,1930748869.0,97776.0,66,2790,18,5,4,2020,5,4,2020,20,4,2020,1970-01-02 17:45:08.875000020,0-15
142,200794332,2020.0,1930720706.0,31599.18,66,625,20,2,4,2020,2,4,2020,17,4,2020,1969-12-31 20:49:41.123046892,
143,200740393,2020.0,1930585380.0,52645.42,66,2919,18,3,3,2020,3,3,2020,18,3,2020,1970-01-05 06:29:56.937500018,0-15
144,200769623,2020.0,1930671465.0,21113.92,66,3003,32,20,3,2020,20,3,2020,4,4,2020,1970-01-02 17:04:02.656250004,0-15
145,200762301,2020.0,1930577119.0,137768.6,66,444,24,27,2,2020,27,2,2020,13,3,2020,1969-12-31 22:54:47.122558607,
146,200759878,2020.0,1930748365.0,13548.66,66,2391,32,5,4,2020,5,4,2020,20,4,2020,1969-12-31 18:16:28.447265645,
147,200759878,2020.0,1930825574.0,35898.48,66,2389,32,27,4,2020,27,4,2020,12,5,2020,1969-12-31 18:16:28.447265637,
148,200704858,2020.0,1930655118.0,109248.63,66,2973,18,16,3,2020,16,3,2020,31,3,2020,1970-01-04 02:18:23.750000031,0-15
149,200762301,2020.0,1930654407.0,7465.1,66,447,24,16,3,2020,16,3,2020,31,3,2020,1969-12-31 23:32:37.535156281,
150,200803720,2020.0,1930872721.0,4729.18,66,722,34,7,5,2020,1,5,2020,11,5,2020,1969-12-28 18:01:56.375000011,
151,200078795,2020.0,1930861108.0,1412.26,66,1211,18,5,5,2020,5,5,2020,20,5,2020,1970-01-01 05:52:10.632812520,0-15
152,200519201,2020.0,1930709582.0,15477.22,66,1576,18,28,3,2020,28,3,2020,12,4,2020,1970-01-01 17:00:31.203125012,0-15
153,200744019,2020.0,1930753198.0,19195.56,66,2791,18,7,4,2020,7,4,2020,22,4,2020,1970-01-02 18:22:59.296875022,0-15
154,200786288,2020.0,1930759958.0,66230.48,66,915,24,8,4,2020,8,4,2020,23,4,2020,1970-01-01 04:13:51.492187523,0-15
155,200418007,2020.0,1930732102.0,47393.05,66,97,18,2,4,2020,2,4,2020,17,4,2020,1970-01-06 16:57:21.718750017,0-15
156,200466603,2020.0,1930664246.0,142732.08,66,2543,18,18,3,2020,18,3,2020,2,4,2020,1970-01-01 21:00:55.250000002,0-15
157,140106408,2020.0,2960622798.0,5791.484999999999,66,2985,5,23,3,2020,23,3,2020,2,4,2020,1970-01-13 11:53:08.125000002,0-15
158,200762301,2020.0,1930721389.0,7943.13,66,448,31,1,4,2020,1,4,2020,5,6,2020,1969-12-31 04:30:35.984375005,
159,200761734,2020.0,1930632938.0,91756.55,66,1192,18,10,3,2020,10,3,2020,25,3,2020,1970-01-01 08:22:21.687500025,0-15
160,200769623,2020.0,1930611981.0,24282.42,66,3000,32,8,3,2020,8,3,2020,23,3,2020,1970-01-02 17:04:02.656250023,0-15
161,200769623,2020.0,1930793187.0,10903.6,66,3002,32,18,4,2020,18,4,2020,3,5,2020,1970-01-02 17:04:02.656250003,0-15
162,200769623,2020.0,1930692727.0,51516.27,66,3005,32,24,3,2020,24,3,2020,8,4,2020,1970-01-02 16:26:12.234375008,0-15
163,200744019,2020.0,1930813045.0,5887.21,66,2798,18,21,4,2020,21,4,2020,6,5,2020,1970-01-04 10:43:01.875000006,0-15
164,200726979,2020.0,1930643416.0,14149.02,66,332,18,12,3,2020,12,3,2020,27,3,2020,1970-01-02 02:45:24.757812527,0-15
165,200706844,2020.0,1930760026.0,38905.5,66,3062,18,31,3,2020,31,3,2020,15,4,2020,1970-01-09 05:06:09.875000015,0-15
166,200418007,2020.0,1930650673.0,1011.24,66,99,31,14,3,2020,14,3,2020,18,5,2020,1970-01-03 04:47:21.921875018,0-15
167,200799367,2020.0,1930720975.0,124605.44,66,1835,18,31,3,2020,31,3,2020,15,4,2020,1970-01-02 06:15:02.312500015,0-15
168,200772595,2020.0,1930705040.0,32039.34,66,2401,18,25,3,2020,25,3,2020,9,4,2020,1970-01-02 06:37:19.320312509,0-15
169,200759878,2020.0,1930700242.0,50054.82,66,2392,32,27,3,2020,27,3,2020,11,4,2020,1969-12-31 17:38:38.033203136,
170,2013,2020.0,1930570370.0,37209.64,66,1535,65,28,2,2020,28,2,2020,28,2,2020,1970-02-11 15:07:02.750000028,31-45
171,200726979,2020.0,1930629390.0,467.72,66,330,18,9,3,2020,9,3,2020,24,3,2020,1970-01-02 02:45:24.757812524,0-15
172,200526831,2020.0,1930666168.0,134095.09,66,2122,18,19,3,2020,19,3,2020,3,4,2020,1970-01-01 21:15:43.843750003,0-15
173,200769623,2020.0,1930845835.0,292.94,66,3002,32,2,5,2020,2,5,2020,17,5,2020,1970-01-02 17:04:02.656250017,0-15
174,100031704,2020.0,1930844129.0,92271.69,66,749,18,30,4,2020,30,4,2020,15,5,2020,1970-01-01 03:05:14.264648453,0-15
175,200769623,2020.0,1930662779.0,35023.47,66,3001,32,18,3,2020,18,3,2020,2,4,2020,1970-01-02 17:04:02.656250002,0-15
176,200020431,2020.0,1930599834.0,4551.58,66,726,36,4,3,2020,1,3,2020,24,3,2020,1969-12-28 08:18:08.218750024,
177,200726979,2020.0,1930730591.0,261.84,66,324,18,1,4,2020,1,4,2020,16,4,2020,1970-01-02 01:23:32.703125016,0-15
178,200769623,2020.0,1930652678.0,33837.66,66,3000,32,15,3,2020,15,3,2020,30,3,2020,1970-01-02 17:04:02.656250030,0-15
179,200729942,2020.0,1930798198.0,11696.53,66,2385,18,17,4,2020,17,4,2020,2,5,2020,1970-01-02 08:58:39.882812502,0-15
180,200705742,2020.0,1930810367.0,8115.04,66,846,18,23,4,2020,23,4,2020,8,5,2020,1969-12-28 07:05:14.000000008,
181,200777735,2020.0,1930670844.0,152067.79,66,1974,18,18,3,2020,18,3,2020,2,4,2020,1970-01-01 17:03:42.312500002,0-15
182,200020431,2020.0,1930617742.0,3117.84,66,728,36,7,3,2020,1,3,2020,24,3,2020,1969-12-28 08:18:08.218750024,
183,200769623,2020.0,1930748572.0,1898.2,66,2998,32,6,4,2020,6,4,2020,21,4,2020,1970-01-02 17:04:02.656250021,0-15
184,200759878,2020.0,1930655535.0,17060.17,66,2393,32,16,3,2020,16,3,2020,31,3,2020,1969-12-31 18:16:28.447265656,
185,100004536,2020.0,1930765834.0,3745.49,66,243,18,14,4,2020,14,4,2020,29,4,2020,1970-01-02 13:47:11.093750029,0-15
186,200769623,2020.0,1930882579.0,9163.34,66,2999,32,11,5,2020,11,5,2020,26,5,2020,1970-01-02 17:04:02.656250026,0-15
187,140104409,2020.0,2960624271.0,166894.25199999998,66,1673,5,26,3,2020,28,3,2020,7,4,2020,1970-01-05 21:26:51.156250007,0-15
188,200744019,2020.0,1930652649.0,1183.45,66,2790,18,16,3,2020,16,3,2020,31,3,2020,1970-01-02 18:22:59.296875031,0-15
189,200769623,2020.0,1930803693.0,53859.97,66,3003,32,23,4,2020,23,4,2020,8,5,2020,1970-01-02 16:26:12.234375008,0-15
190,140104423,2020.0,2960624752.0,32025.363999999994,66,1896,5,1,4,2020,1,4,2020,11,4,2020,1970-01-06 06:40:09.187500011,0-15
191,200707822,2020.0,1930801025.0,61394.52,66,2227,18,18,4,2020,18,4,2020,3,5,2020,1970-01-02 02:52:19.835937503,0-15
192,200782669,2020.0,1930617473.0,23298.58,66,2704,18,9,3,2020,9,3,2020,24,3,2020,1970-01-02 16:01:38.765625024,0-15
